buffer1[0], 0x0000,
buffer1[1], 0x0000,
buffer1[2], 0x0000,
buffer1[3], 0x0000,
buffer1[4], 0x0000,
buffer1[5], 0x0000,
buffer1[6], 0x0000,
buffer1[7], 0x0000,
buffer1[8], 0x0000,
buffer1[9], 0x0000,
buffer1[10], 0x0000,
buffer1[11], 0x0000,
buffer1[12], 0x0000,
buffer1[13], 0x0000,
buffer1[14], 0x0000,
buffer1[15], 0x0000,
buffer1[16], 0x0000,
buffer1[17], 0x0000,
buffer1[18], 0x0000,
buffer1[19], 0x0000,
buffer1[20], 0x0000,
buffer1[21], 0x0000,
buffer1[22], 0x0000,
buffer1[23], 0x0000,
buffer1[24], 0x0000,
buffer1[25], 0x0000,
buffer1[26], 0x0000,
buffer1[27], 0x0000,
buffer1[28], 0x0000,
buffer1[29], 0x0000,
buffer1[30], 0x0000,
buffer1[31], 0x0000,
buffer1[32], 0x0000,
buffer1[33], 0x0000,
buffer1[34], 0x0000,
buffer1[35], 0x0000,
buffer1[36], 0x0046,
buffer1[37], 0x0066,
buffer1[38], 0x0055,
buffer1[39], 0x0024,
buffer1[40], 0x0066,
buffer1[41], 0x0054,
buffer1[42], 0x0024,
buffer1[43], 0x0066,
buffer1[44], 0x0055,
buffer1[45], 0x0023,
buffer1[46], 0x0066,
buffer1[47], 0x0082,
buffer1[48], 0x008C,
buffer1[49], 0x008F,
buffer1[50], 0x0092,
buffer1[51], 0x0092,
buffer1[52], 0x0091,
buffer1[53], 0x0093,
buffer1[54], 0x0092,
buffer1[55], 0x0091,
buffer1[56], 0x0092,
buffer1[57], 0x0093,
buffer1[58], 0x0091,
buffer1[59], 0x0093,
buffer1[60], 0x0092,
buffer1[61], 0x0091,
buffer1[62], 0x0092,
buffer1[63], 0x0093,
buffer1[64], 0x0091,
buffer1[65], 0x0093,
buffer1[66], 0x0093,
buffer1[67], 0x0091,
buffer1[68], 0x0093,
buffer1[69], 0x0093,
buffer1[70], 0x0091,
buffer1[71], 0x0093,
buffer1[72], 0x0095,
buffer1[73], 0x0091,
buffer1[74], 0x0091,
buffer1[75], 0x0093,
buffer1[76], 0x0091,
buffer1[77], 0x0092,
buffer1[78], 0x0092,
buffer1[79], 0x0091,
buffer1[80], 0x0092,
buffer1[81], 0x0093,
buffer1[82], 0x0091,
buffer1[83], 0x0092,
buffer1[84], 0x0093,
buffer1[85], 0x0091,
buffer1[86], 0x0093,
buffer1[87], 0x0093,
buffer1[88], 0x0092,
buffer1[89], 0x0093,
buffer1[90], 0x0093,
buffer1[91], 0x0091,
buffer1[92], 0x0092,
buffer1[93], 0x0093,
buffer1[94], 0x0091,
buffer1[95], 0x0092,
buffer1[96], 0x0094,
buffer1[97], 0x0091,
buffer1[98], 0x0092,
buffer1[99], 0x0093,
